author,comment,likes,clean_comment
@junaidbabar8446,"Alia bhatt just watched the real acting <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=2461"">41:01</a> 😂",0,alia bhatt just watched the real acting a href
@MOHAMMEDFAISAL-w9d,Waiting for next video,0,waiting for next video
@junaidbabar8446,"<a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=1655"">27:35</a> this line proved bro&#39;s talent 🔥",0,a href this line proved bro39s talent
@ujjavalojha,"Bhai ranveer alhabadi buttom for next episode,dogle fans ke liye👊",0,bhai ranveer alhabadi buttom for next episodedogle fans ke liye
@tubermanish6773,Last scene ❤😂,0,last scene
@paramjit7,🎉,0,
@HawaNizamani-y5c,Amazing 😂and entertaining show,0,amazing and entertaining show
@junaidbabar8446,Please limit the number of products on the table. It&#39;s too messy and distracting. Aik he mobile kafi tha yaar!,0,please limit the number of products on the table it39s too messy and distracting aik he mobile kafi tha yaar
@junaidbabar8446,"What to know <a href=""https://www.youtube.com/watch?v=eHTXQW58WhA&amp;t=256"">4:16</a> cut 😅😂",0,what to know a href cut
@RijaSarkar-m5l,❤❤❤,0,
@RijaSarkar-m5l,❤❤❤❤❤❤,0,
@sunam2303,"next episode kab ayega?<br>latent 2 aneme jitna waiti karna para, iske lea eksath 7/8 episode release karneparvi kamhoga.",0,next episode kab ayegabrlatent 2 aneme jitna waiti karna para iske lea eksath 78 episode release karneparvi kamhoga
@artbyuzbi,❤❤❤,0,
@jlkrofficial,Donald trump overshadowed Samay Raina 😂,0,donald trump overshadowed samay raina
@mrsameerst5511,Amazing yrr😂❤,0,amazing yrr
@AarviSikri-d5j,binge watching latent at 4am is my new and favorite hobbyyy❤,0,binge watching latent at 4am is my new and favorite hobbyyy
@SohiniDatta-o3z,Mere Chai ki Tapri pe Sabki Nazarjaan hai. 💯,0,mere chai ki tapri pe sabki nazarjaan hai
